,Nombre_prod,Cantidad_prod,Precio_prod
557,DESODORANTE CLINICAL BARRA HOMBRE 47 GR,"47 g (g a $ 191,28)",$ 8.990
558,DESODORANTE CLINICAL BARRA MUJER 47 GR,"47 g (g a $ 191,28)",$ 8.990
559,DESODORANTE CLINICAL TUBO HOMBRE 70 GR,"70 g (g a $ 85,57)",$ 5.990
560,DESODORANTE CLINICAL TUBO MUJER 70 GR,"70 g (g a $ 85,57)",$ 5.990
561,AFEITADORA RECARGABLE MANGO + 2 REPUETOS GILLET...,1 un (un a $ 10.490),$ 10.490
562,REPUESTOS PARA AFEITADORA GILLETTE 4 UND,"4 un (un a $ 2.622,5)",$ 10.490
563,MÁQUINA PARA AFEITAR 3 HOJAS HOMBRE XEN 2 UND...,2 un (un a $ 1.395),$ 2.790
564,ESPUMA PARA AFEITAR XEN 300 ML,"300 ml (ml a $ 22,3)",$ 6.690
565,MÁQUINA PARA AFEITAR 3 HOJAS MUJER XEN 2 UND...,2 un (un a $ 1.395),$ 2.790
566,KOLA GRANULADA TARRITO ROJO 210 G,"210 g (g a $ 43,76)",$ 9.190
567,ALKA-SELTZER TABLETA EFERVESCENTE 6 UND,6 un (un a $ 850),$ 5.100
568,APRONAX TABLETA 8 UND - 275 MG,"8 un (un a $ 1.073,75)",$ 8.590
569,ASPIRINA ULTRA TABLETA 8 UND - 500 MG,"8 un (un a $ 536,25)",$ 4.290
570,GAVISCON EN SACHET 6 UND,"6 un (un a $ 1.648,33)",$ 9.890
571,SEVEDOL EXTRAFUERTE TABLETA 6 UND,"6 un (un a $ 1.048,33)",$ 6.290
572,CONDONES DUREX EXTRASEGURO 3 UNIDADES,"3 un (un a $ 1.996,67)",$ 5.990
573,TAPABOCAS TRIPLE CAPA DESECHABLE,1 un (un a $ 350),$ 350
574,CARETA PROTECTORA AJUSTABLE,1 un (un a $ 3.790),$ 3.790
575,ACETAMINOFEN CAPSULAS DOLOFEN 10 UND,10 un (un a $ 529),$ 5.290
576,PASTILLA GARGANTA STREPSILES 8 UND,"8 un (un a $ 948,75)",$ 7.590
577,ALIMENTO EN POLVO NUTREPRO VAINILLA 400G,"400 g (g a $ 62,48)",$ 24.990
578,ACTRON MAX® IBUPROFENO CAPSULAS LIQUIDAS X 4 UN...,"4 un (un a $ 1.237,5)",$ 4.950
579,JARABE PARA LA TOS ADULTOS BUCOXOL 120M.,"120 ml (ml a $ 116,58)",$ 13.990
580,REMOVEDOR DE ESMALTE NATURAL FEELING 250ML...,250 ml (ml a $ 21),$ 5.250
581,PLUMON DELINEADOR OJOS USK,1 ml (ml a $ 9.990),$ 9.990
582,POLVO COMPACTO DORÉ USK,"7 g (g a $ 2.141,43)",$ 14.990
583,POLVO COMPACTO CANELA USK,"7 g (g a $ 2.141,43)",$ 14.990
584,POLVO COMPACTO ARENA,"7 g (g a $ 2.141,43)",$ 14.990
585,GEL CEJAS USHIKO 1 UN,"3 g (g a $ 3.663,33)",$ 10.990
586,PERFILADOR CEJAS MICROFILLING USK,1 ml (ml a $ 10.990),$ 10.990
587,CORRECTOR OJERAS USK,"3 g (g a $ 3.663,33)",$ 10.990
588,RUBOR ILUMINADOR USK,"7 g (g a $ 1.855,71)",$ 12.990
589,LABIAL CRAYON NO TRANSFER ROJOS,1 g (g a $ 12.990),$ 12.990
590,LABIAL CRAYON NO TRANSFER - CAJA SURTIDA 2 TONO...,1 g (g a $ 12.990),$ 12.990
591,PESTAÑINA FALSIES MAYBELLINE NEGRA,"7 ml (ml a $ 2.855,71)",$ 19.990
592,BASE LIQUIDA MATIFICANTE USK,"20 g (g a $ 749,5)",$ 14.990
593,CREMA COLORANTE CAPILAR NUTRISSE ALMENDRA 1 UND...,1 un (un a $ 9.990),$ 9.990
594,CREMA COLORANTE CAPILAR NUTRISSE CHOCOLATE 1 UN...,1 un (un a $ 9.990),$ 9.990
595,CREMA COLORANTE CAPILAR NUTRISSE EBANO 1 UND...,1 un (un a $ 9.990),$ 9.990
596,GEL EGO EXTREME ULTRA 240 ML,"240 ml (ml a $ 22,88)",$ 5.490
597,SHAMPOO SAVITAL MULTIVITAMINAS 530 ML,"530 ml (ml a $ 20,74)",$ 10.990
598,SHAMPOO ANTICASPA XEN 400 ML,"400 ml (ml a $ 19,98)",$ 7.990
599,SHAMPOO 2 EN 1 KOLORS 400 ML,"400 ml (ml a $ 17,48)",$ 6.990
600,ACONDICIONADOR KOLORS 300 ML,"300 ml (ml a $ 23,3)",$ 6.990
601,MASCARILLA CAPILAR REPARADORA KOLORS 250 ML...,"250 ml (ml a $ 31,96)",$ 7.990
602,SHAMPOO CONTROL CASPA H&S 375 ML,"375 ml (ml a $ 41,31)",$ 15.490
603,SHAMPOO HIDRATANTE/REGENERADOR NATURAL FEELING ...,"400 ml (ml a $ 16,23)",$ 6.490
604,CREMA COLORANTE CAPILAR 50 CASTAÑO 1UN,1 un (un a $ 9.990),$ 9.990
605,CREMA COLORANTE CAPILAR 71 RUBIO 1UN,1 un (un a $ 9.990),$ 9.990
606,CREMA HUMECTANTE LUBRIDERM 200 ML,"200 ml (ml a $ 51,75)",$ 10.350
607,TALCO ANTIBACTERIAL XEN 150 G,"150 g (g a $ 31,27)",$ 4.690
608,BÁLSAMO PARA PIES CANSADOS DELIA 250 ML,"250 ml (ml a $ 41,96)",$ 10.490
609,LOCIÓN REFRESCANTE XEN 178 ML,"178 ml (ml a $ 28,03)",$ 4.990
610,REPELENTE NATURAL FEELING 120 ML,"120 ml (ml a $ 57,5)",$ 6.900
611,CREMA DE MANOS ARGAN DELIA 50 ML,"50 ml (ml a $ 39,8)",$ 1.990
612,GEL ANTIBACTERIAL NATURAL FEELING 60 ML,"60 ml (ml a $ 31,5)",$ 1.890
613,ANTIBACTERIAL Y HUMECTANTE NATURAL FEELING 135 ...,"135 ml (ml a $ 25,11)",$ 3.390
614,CREMA EXFOLIANTE CORPORAL NATURAL FEELING 230 G...,"230 g (g a $ 30,39)",$ 6.990
615,CREMA CORPORAL NATURAL FEELING 500 ML,"500 ml (ml a $ 15,98)",$ 7.990
616,GEL DE BAÑO NATURAL FEELING 750 ML,"750 ml (ml a $ 9,99)",$ 7.490
617,GEL ANTIBACTERIAL NATURAL FEELING 300 ML,"300 ml (ml a $ 11,97)",$ 3.590
618,CREMA CONTORNO OJOS,15 ml (ml a $ 666),$ 9.990
619,CREMA ANTIARRUGAS ARGAN Q10 DELIA 50 ML,"50 ml (ml a $ 199,8)",$ 9.990
620,AGUA MICELAR DELIA 200 ML,"200 ml (ml a $ 24,95)",$ 4.990
621,CREMA FACIAL ANTIOXIDANTE DELIA 50 ML,"50 ml (ml a $ 199,8)",$ 9.990
622,GEL LIMPIADOR FACIAL DELIA 200 ML,"200 ml (ml a $ 26,75)",$ 5.350
623,SUERO FACIAL DELIA 30 ML,"30 ml (ml a $ 499,67)",$ 14.990
624,CREMA FACIAL CORRECTORA BB DELIA 30 ML,30 ml (ml a $ 333),$ 9.990
625,POMOS DE ALGODÓN NATURAL FEELING 50 UND,"50 un (un a $ 61,8)",$ 3.090
626,MASCARILLA FACIAL COSMÉTICA MASK ONE 1UN,1 un (un a $ 2.990),$ 2.990
627,PROTECTOR SPRAY ADULTOS,"200 ml (ml a $ 99,95)",$ 19.990
628,PROTECTOR SOLAR DELIA 100 ML,"100 ml (ml a $ 99,9)",$ 9.990
629,PROTECTOR SPRAY NIÑOS,"200 ml (ml a $ 99,95)",$ 19.990
630,CREMA DENTAL TRIPLE ACCIÓN COLGATE 100 ML...,"100 un (un a $ 51,9)",$ 5.190
631,CREMA DENTAL ALIENTO FRESCO COLGATE TOTAL 75 ML...,"75 un (un a $ 99,87)",$ 7.490
632,ENJAGUE BUCAL LISTERINE COOL MINT 360 ML,"360 ml (ml a $ 27,75)",$ 9.990
633,ENJUAGUE BUCAL CERO ALCOHOL BUCARINE 500 ML...,"500 ml (ml a $ 11,98)",$ 5.990
634,CREMA DENTAL PARA NIÑOS BUCARINE 75 CC,"75 un (un a $ 56,67)",$ 4.250
635,CREMA DENTAL EN GEL BUCARINE 150 CC,"150 un (un a $ 29,93)",$ 4.490
636,CREMA DENTAL TRIPLE ACCIÓN BUCARINE 150 ML...,"150 un (un a $ 29,93)",$ 4.490
637,CREMA DENTAL JUNIOR BUCARINE 100 ML,"100 ml (ml a $ 52,5)",$ 5.250
638,SEDA DENTAL BUCARINE 50 MTS,"50 m (m a $ 39,8)",$ 1.990
639,CEPILLO DE DIENTES ADULTOS SUAVE BUCARINE 1 UND...,1 un (un a $ 1.490),$ 1.490
640,CEPILLO DE DIENTES PARA NIÑOS BUCARINE 1 UND...,1 un (un a $ 1.390),$ 1.390
641,CEPILLO DE DIENTES ADULTOS MEDIO BUCARINE 1 UND...,1 un (un a $ 1.490),$ 1.490
642,DESODORANTE HOMBRE GEL GILLETE 45 G,"45 g (g a $ 136,67)",$ 6.150
643,DESODORANTE MUJER EN SPRAY NATURAL FEELING 150 ...,"150 ml (ml a $ 46,6)",$ 6.990
644,DESODORANTE HOMBRE EN SPRAY XEN 150 ML,"150 ml (ml a $ 46,6)",$ 6.990
645,DESODORANTE PARA PIES EN SPRAY XEN 260 ML...,"260 ml (ml a $ 30,73)",$ 7.990
646,DESODORANTE EN AEROSOL MUJER REXONA CLINICAL 15...,"150 ml (ml a $ 66,6)",$ 9.990
647,DESODORANTE EN AEROSOL HOMBRE REXONA CLINICAL 1...,"150 ml (ml a $ 66,6)",$ 9.990
648,DESODORANTE MUJER EN ROLL ON NATURAL FEELING 7...,"75 ml (ml a $ 59,87)",$ 4.490
649,DESODORANTE HOMBRE EN ROLL ON XEN 75 ML,"75 ml (ml a $ 59,87)",$ 4.490
650,JABÓN DE TOCADOR NATURAL FEELING 4 UND 500 G...,"500 g (g a $ 11,98)",$ 5.990
651,JABÓN DE TOCADOR AVENA NATURAL FEELING 375 G...,"375 g (g a $ 14,91)",$ 5.590
652,JABÓN DE TOCADOR ANTIBACTERIAL NATURAL FEELING ...,"375 g (g a $ 14,91)",$ 5.590
653,JABÓN LÍQUIDO FLOR DE LOTO NATURAL FEELING 500 ...,"500 ml (ml a $ 6,38)",$ 3.190
654,JABÓN ESPUMOSO ANTIBACTERIAL MILEFIORE 270 ML...,"270 ml (ml a $ 22,04)",$ 5.950
655,JABÓN DE MANOS LÍQUIDO NATURAL FEELING 500 ML...,"500 ml (ml a $ 6,38)",$ 3.190
656,TOALLA FEMENINA INVISIBLE NOSOTRAS 24 UND...,"24 un (un a $ 357,92)",$ 8.590
657,TOALLA FEMENINA NORMAL FRESH & FREE 12 UND...,"12 un (un a $ 199,17)",$ 2.390
658,TOALLA DELGADA FRESH & FREE 12 UND,"12 un (un a $ 190,83)",$ 2.290
659,TOALLA FEMENINA MALLA RED FRESH & FREE 12 UND...,"12 un (un a $ 199,17)",$ 2.390
660,PROTECTORES DIARIOS FRESH & FREE 15 UND,15 un (un a $ 70),$ 1.050
661,TOALLA FEMENINA NOCTURNA FRESH & FREE 8 UND...,"8 un (un a $ 373,75)",$ 2.990
662,PROTECTORES FLEXY PANTY FRESH & FREE 60U,"60 un (un a $ 93,17)",$ 5.590
663,JABÓN ÍNTIMO FRESH & FREE 300 ML,"300 ml (ml a $ 12,5)",$ 3.750
664,TAMPONES DIGITALES MEDIO/SUPER FRESH & FREE 10 ...,10 un (un a $ 329),$ 3.290
665,PAÑUELO FACIAL RENDY 4 PAQUETES - 10 UND POR PA...,"40 un (un a $ 64,75)",$ 2.590
666,PAÑUELOS FACIALES EN CAJA RENDY 50 UND,50 un (un a $ 57),$ 2.850
667,TOALLAS DESECHABLES PARA MANOS RENDY 80 UND...,"80 un (un a $ 44,38)",$ 3.550
668,BODY SPLASH 200 ML ANTIBACTERIAL 2021,"200 ml (ml a $ 49,95)",$ 9.990
669,FRAGANCIA MASCULINA 100 ML V&R SURTIDA,"100 ml (ml a $ 299,9)",$ 29.990
670,ACONDICIONADOR ELVIVE REPARADOR 350 ML,"350 ml (ml a $ 32,83)",$ 11.490
671,SHAMPOO ELVIVE REPARACIÓN TOTAL 350 ML,"350 ml (ml a $ 32,83)",$ 11.490
672,COMPOTA DE FRUTA BIPACK X 2 UNIDADES,"113 g (g a $ 29,65)",$ 3.350
673,ALIMENTO LÁCTEO KLIM 1+ 252 GR,"252 g (g a $ 30,52)",$ 7.690
674,FÓRMULA LÁCTEA EN POLVO ENFAMIL HIERRO ETAPA 2 ...,"375 g (g a $ 53,31)",$ 19.990
675,FÓRMULA LÁCTEA EN POLVO ENFAMIL HIERRO ETAPA 1 ...,"375 g (g a $ 53,31)",$ 19.990
676,CEREAL INFANTIL TRIGO MIEL NESTUM 200 G,"200 g (g a $ 41,45)",$ 8.290
677,SNACK FRUTA SURTIDA CHIQUI CHUPS 125 G,"125 g (g a $ 12,4)",$ 1.550
678,PAÑAL TALLA G LITTLE ANGELS 30 UND,"30 un (un a $ 699,67)",$ 20.990
679,PAÑAL TALLA M LITTLE ANGELS 30 UND,"30 un (un a $ 566,33)",$ 16.990
680,PAÑAL TALLA P LITTLE ANGELS 30 UND,"30 un (un a $ 439,67)",$ 13.190
681,PAÑAL TALLA XXG LITTLE ANGELS 30 UND,30 un (un a $ 933),$ 27.990
682,JABÓN CREMOSO PARA BEBE LITTLE ANGELS 3 UND - 3...,"375 g (g a $ 14,91)",$ 5.590
683,CREMA DERMOPROTECTORA LITTLE ANGELS 150 G...,"150 g (g a $ 39,93)",$ 5.990
684,SHAMPOO PARA BEBE LITTLE ANGELS 360 ML,"360 ml (ml a $ 13,86)",$ 4.990
685,TOALLAS HÚMEDAS LITTLE ANGELS 10 UND,10 un (un a $ 115),$ 1.150
686,COPITOS LITTLE ANGELS 100 UND,"100 un (un a $ 22,5)",$ 2.250
687,ALGODÓN LITTLE ANGELS 50 G,50 g (g a $ 21),$ 1.050
688,TOALLAS HÚMEDAS LITTLE ANGELS 72 UND,"72 un (un a $ 63,75)",$ 4.590
689,AGUARDIENTE AMARILLO MANZANARES 750ML,"750 ml (ml a $ 49,32)",$ 36.990
690,TEQUILA REPOSADO JARANA 100% AGAVE,"700 ml (ml a $ 74,27)",$ 51.990
691,AGUA TÓNICA WHITE CROWN 269 ML,"269 ml (ml a $ 7,4)",$ 1.990
692,JUGO DEL VALLE FRUTAS CITRICAS 1500ML,"1500 ml (ml a $ 1,66)",$ 2.490
693,GASEOSA COCA COLA PET 250ML,"250 ml (ml a $ 5,16)",$ 1.290
694,GASEOSA COCA COLA SIN AZUCAR PET 250ML,"250 ml (ml a $ 3,96)",$ 990
695,GASEOSA KOLA ROMAN PET 250ML,"250 ml (ml a $ 4,36)",$ 1.090
696,GASEOSA SCHWEPPES SODA PET 400ML,"400 ml (ml a $ 3,98)",$ 1.590
697,GINEBRA DAFNE 700 ML,"700 ml (ml a $ 64,27)",$ 44.990
698,CHOCOLATE CORONA TRADICIONAL 250 G,"250 g (g a $ 15,16)",$ 3.790
699,CAFÉ TOSTADO Y MOLIDO ST. FRANCIS 250 G,"250 g (g a $ 20,76)",$ 5.190
700,GASEOSA SCHWEPPES GINGER ALE PET 1500ML,"1500 ml (ml a $ 2,13)",$ 3.190
701,VINO BLANCO FRANCES MAISON 1982 750 ML,"750 ml (ml a $ 33,32)",$ 24.990
702,BEBIDA JUGO FRUTA DEL VALLE 6U 188ML,"188 ml (ml a $ 23,88)",$ 4.490
703,ENERGIZANTE VIVE100 240ML,"240 ml (ml a $ 7,04)",$ 1.690
704,CERVEZA CLUB COLOMBIA 269 ML,"269 ml (ml a $ 7,4)",$ 1.990
705,AGUA NATURAL CON ALOE OMI 500 ML,"500 ml (ml a $ 5,98)",$ 2.990
706,BEBIDA DE AGUA CON COCO OMI 500 ML,"500 ml (ml a $ 5,78)",$ 2.890
707,AGUA SABORIZADA MARACUYÁ OMI 600 ML,"600 ml (ml a $ 1,98)",$ 1.190
708,AGUA SABORIZADA MARACUYÁ OMI 1700 ML,"1700 ml (ml a $ 1,35)",$ 2.290
709,AGUA CON GAS LIMONADA OMI 600 ML,"600 ml (ml a $ 1,98)",$ 1.190
710,AGUA CON GAS LIMONADA OMI 1700 ML,"1700 ml (ml a $ 1,35)",$ 2.290
711,AGUA SABORIZADA LIMÓN OMI 600 ML,"600 ml (ml a $ 1,98)",$ 1.190
712,AGUA SIN GAS OMI 6 UND - 300 ML,"1800 ml (ml a $ 1,94)",$ 3.490
713,AGUA SABORIZADA LIMÓN OMI 1700 ML,"1700 ml (ml a $ 1,35)",$ 2.290
714,AGUA SIN GAS OMI 1000 ML,"1000 ml (ml a $ 0,89)",$ 890
715,AGUA CON GAS OMI 600 ML,"600 ml (ml a $ 1,32)",$ 790
716,AGUA SIN GAS OMI 5000 ML,"5000 ml (ml a $ 0,66)",$ 3.290
717,JUGO DE ARÁNDANOS TREE FRUTS 946 ML,"946 ml (ml a $ 7,39)",$ 6.990
718,LIMONADA DE COCO KEDELI EN POLVO 450 GR,"450 g (g a $ 9,98)",$ 4.490
719,LIMONADA DE PANELA 1000 ML,"1000 ml (ml a $ 2,99)",$ 2.990
720,ZUMO DE UVA SIN AZÚCAR TREE FRUTS 1000 ML...,"1000 ml (ml a $ 5,85)",$ 5.850
721,REFRESCO CON NARANJA TREE FRUTS 1700 ML,"1700 ml (ml a $ 1,35)",$ 2.290
722,JUGO DE LIMÓN TREE FRUTS 250 ML,"250 ml (ml a $ 11,96)",$ 2.990
723,REFRESCO DE MANGO TREE FRUTS 1000 ML,"1000 ml (ml a $ 2,49)",$ 2.490
724,REFRESCO DE MORA TREE FRUTS 1000 ML,"1000 ml (ml a $ 2,49)",$ 2.490
725,JUGO DE NARANJA FRESCO TREE FRUTS 1000 ML...,"1000 ml (ml a $ 4,49)",$ 4.490
726,JUGO DE MANDARINA TREE FRUTS 1000 ML,"1000 ml (ml a $ 5,99)",$ 5.990
727,NÉCTARES SABORES SURTIDOS TREE FRUTS 6 UND - 20...,"1200 ml (ml a $ 4,16)",$ 4.990
728,REFRESCO POLVO LIGHT KEDELI 1 LT,"8 g (g a $ 111,25)",$ 890
729,REFRESCOS SURTIDOS FRUTAS 6 UND,"1200 ml (ml a $ 3,46)",$ 4.150
730,GASEOSA PONY MALTA 1500 ML,"1500 ml (ml a $ 1,99)",$ 2.990
731,GASEOSA PONY MALTA MINI 200 ML,"200 ml (ml a $ 5,75)",$ 1.150
732,SPRITE LIMA LIMÓN 1500 Ml,"1500 ml (ml a $ 1,99)",$ 2.990
733,GASEOSA COCA COLA SIN AZÚCAR 1750 ML,"1750 ml (ml a $ 2,57)",$ 4.490
734,GASEOSA KOLA ROMÁN 1750 ML,"1750 ml (ml a $ 1,65)",$ 2.890
735,GASEOSA COCA COLA 1750 ML,"1750 ml (ml a $ 2,68)",$ 4.690
736,BEBIDA HIDRATANTE SABOR MANDARINA DRINK A 600 M...,"600 ml (ml a $ 2,48)",$ 1.490
737,GASEOSA COLA NEGRA SWIGEN 1700 ML,"1700 ml (ml a $ 1,46)",$ 2.490
738,GASEOSA MANZANA SWIGEN 1700 ML,"1700 ml (ml a $ 1,46)",$ 2.490
739,GASEOSA FRESH COLA SWIGEN 1700 ML,"1700 ml (ml a $ 1,46)",$ 2.490
740,BEBIDA HIDRATANTE SABOR TROPICAL DRINK A 600 ML...,"600 ml (ml a $ 2,48)",$ 1.490
741,BEBIDA ENERGIZANTE CONTACT DRINK 250 ML,"250 ml (ml a $ 9,16)",$ 2.290
742,GASEOSA TORONJA SWIGEN 1700 ML,"1700 ml (ml a $ 1,46)",$ 2.490
743,CERVEZA CON LIMON WEIDMANN RADLER 330 ML,"330 ml (ml a $ 8,45)",$ 2.790
744,CERVEZA BAHIA 330 ML,"330 un (un a $ 4,21)",$ 1.390
745,CERVEZA BAHIA LAGER 330 CC,"330 un (un a $ 3,91)",$ 1.290
746,BEBIDA DE AVENA NATURE HEART 946ML,"946 ml (ml a $ 10,56)",$ 9.990
747,BEBIDA DE ALMENDRAS VAINILLA SO DELICIOUS 946 M...,"946 ml (ml a $ 10,56)",$ 9.990
748,BEBIDA DE ALMENDRAS SIN AZÚCAR SO DELICIOUS 946...,"946 ml (ml a $ 10,56)",$ 9.990
749,BEBIDA DE ALMENDRAS EN POLVO NATRI 115 G,"115 g (g a $ 43,39)",$ 4.990
750,BEBIDA DE COCO VAIN SO DELICIOUS 946ML,"946 ml (ml a $ 10,14)",$ 9.590
751,BEBIDA DE COCO S/A SO DELICIOUS 946ML,"946 ml (ml a $ 10,56)",$ 9.990
752,BEBIDA DE ALMENDRAS ORIGINAL SO DELICIOUS 946 M...,"946 ml (ml a $ 10,56)",$ 9.990
753,PROSECCO ITALIANO TORRESELLA 750 ML,"750 ml (ml a $ 46,65)",$ 34.990
754,VINO BLANCO PORTUGAL PINTA NEGRA 750 ML,"750 ml (ml a $ 29,32)",$ 21.990
755,VINO TINTO ESPAÑOL RESERVA FAUSTINO RIVERO...,"750 ml (ml a $ 46,65)",$ 34.990
756,VINO TINTO CARMENERE RESERVA QUINTA LAS CABRAS ...,"750 ml (ml a $ 27,99)",$ 20.990
757,VINO TINTO CABERNET SAUVIGNON QUINTA LAS CABRAS...,"750 ml (ml a $ 21,32)",$ 15.990
758,VINO ROSE QUINTA LAS CABRAS 750 ML,"750 ml (ml a $ 21,32)",$ 15.990
759,ESPUMANTE CHARDONNAY BRUT QUINTA LAS CABRAS 750...,"750 ml (ml a $ 31,99)",$ 23.990
760,VINO TINTO CARMENERE QUINTA LAS CABRAS 750 ML...,"750 ml (ml a $ 21,32)",$ 15.990
761,VINO TINTO GRAN MALBEC COMPADRE 750 ML,"750 ml (ml a $ 34,65)",$ 25.990
762,VINO BLANCO CHARDONNAY LOS RIOS 750 ML,"750 ml (ml a $ 23,99)",$ 17.990
763,VINO TINTO BAG IN BOX 3 LITROS PINTA NEGRA...,"3000 ml (ml a $ 21,66)",$ 64.990
764,VINO TINTO ESPAÑOL CRIANZA FAUSTINO RIVERO 750 ...,"750 ml (ml a $ 35,99)",$ 26.990
765,AGUARDIENTE NECTAR SIN AZUCAR CLUB 500 ML...,"500 ml (ml a $ 41,98)",$ 20.990
766,WHISKY ESCOCÉS GAELIK 700 ML,"700 ml (ml a $ 49,99)",$ 34.990
767,RON AÑEJO CARTAVIO BLACK BARREL 750 ML,"750 ml (ml a $ 39,93)",$ 29.950
768,TEQUILA NEWTON GOLD 750 ML,"750 ml (ml a $ 55,99)",$ 41.990
769,CHOCOLATE 50% MENOS AZUCAR SOL 320 G,"320 g (g a $ 22,03)",$ 7.050
770,TE VERDE PIÑA HINDU 10 UND,10 un (un a $ 379),$ 3.790
771,CAFÉ FINA SELECCIÓN NESCAFÉ 85 G,"85 g (g a $ 128,12)",$ 10.890
772,CAFÉ EXCELSO MATIZ 250 G,"250 g (g a $ 51,56)",$ 12.890
773,CHOCOLATE CON SPLENDA CHOCOLYNE 100 G,"100 g (g a $ 43,9)",$ 4.390
774,CAFÉ TOSTADO Y MOLIDO VIEJO MOLINO 500 G,"500 g (g a $ 21,38)",$ 10.690
775,TÉ HELADO LIMÓN EISTEE 380 GRS,"380 g (g a $ 13,13)",$ 4.990
776,TÉ HELADO FRUTOS ROJOS EISTEE 380 GRS,"380 g (g a $ 13,13)",$ 4.990
777,CAFÉ TOSTADO Y MOLIDO SUAVE VIEJO MOLINO 500 G...,"500 g (g a $ 21,38)",$ 10.690
778,CREMA PARA CAFÉ EN DOYPACK VIEJO MOLINO 175 G...,"175 g (g a $ 18,8)",$ 3.290
779,INFUSIÓN FRUTAL FRUTOS ROJOS KANPUR 10 UND...,10 g (g a $ 355),$ 3.550
780,CHOCOLATE TRADICIONAL DE LA TAZA 500 G,"500 g (g a $ 10,7)",$ 5.350
781,CHOCOLATE CLAVOS Y CANELA DE LA TAZA 500 G...,"500 g (g a $ 10,7)",$ 5.350
782,COCOA LIGHT CLAVOS Y CANELA CASA REAL 120 G...,"120 g (g a $ 27,08)",$ 3.250
783,CHOCOLATE VAINILLA DE LA TAZA 500 G,"500 g (g a $ 11,18)",$ 5.590
784,CAFÉ TOSTADO Y MOLIDO VIEJO MOLINO 125 G,125 g (g a $ 26),$ 3.250
785,TÉ EN POLVO DURAZNO - FRUTOS SALVAJES EISTEE 20...,"20 g (g a $ 47,5)",$ 950
786,AROMÁTICA DECISIÓN NATURAL JAIBEL 20 BOLSAS...,"20 un (un a $ 299,5)",$ 5.990
787,CAFÉ INSTANTÁNEO VIEJO MOLINO 85 G,"85 g (g a $ 75,18)",$ 6.390
788,CAFÉ INSTANTÁNEO GRANULADO VIEJO MOLINO 85 G...,"85 g (g a $ 82,24)",$ 6.990
789,TE LÍQUIDO LIMÓN EISTEE 400 ML,"400 ml (ml a $ 2,88)",$ 1.150
790,TÉ LÍQUIDO DURAZNO EISTEE 400 ML,"400 ml (ml a $ 2,88)",$ 1.150
791,COCOA CASA REAL 230 G,"230 g (g a $ 23,87)",$ 5.490
792,CAFÉ INSTANTÁNEO DESCAFEINADO VIEJO MOLINO 85 G...,"85 g (g a $ 88,12)",$ 7.490
793,AROMÁTICAS KANPUR 20 UND - 15 G,15 g (g a $ 110),$ 1.650
794,MILO NUTRI FIT 300 G,"300 g (g a $ 36,63)",$ 10.990
795,NESCAFÉ CAPPUCCINO MI TAZA 180 G,"180 g (g a $ 46,61)",$ 8.390
796,GELATINA SIN SABOR KEDELI 4 UND - 30 G,30 g (g a $ 63),$ 1.890
797,GELATINA SABORES SURTIDOS KEDELI 3UND - 120 G...,"120 g (g a $ 23,25)",$ 2.790
798,BEBIDA ACHOCOLATADA SIKOLATA 200 G,"200 g (g a $ 16,75)",$ 3.350
799,GELATINA LIGHT KEDELI 12 G,"12 g (g a $ 107,5)",$ 1.290
800,AVENA INSTANTÁNEA FRESA O VAINILLA FIOCCO 250 G...,"250 g (g a $ 7,56)",$ 1.890
801,AGUARDIENTE ANTIOQUEÑO SIN AZUCAR 750 ML,"750 ml (ml a $ 51,72)",$ 38.790
802,GASEOSA PONY MALTA 2000ML,2 l (l a $ 1.825),$ 3.650
803,SODA WHITE CROWN 1.7LTS,"1700 ml (ml a $ 1,11)",$ 1.890
804,BEBIDA ALMENDRA ORIGINAL NATRI 1000 ML,"1000 ml (ml a $ 7,99)",$ 7.990
805,BEBIDA ALMENDRA SIN AZUCAR NATRI 1000 ML,"1000 ml (ml a $ 7,99)",$ 7.990
806,BEBIDA ALMENDRA VAINILLA NATRI 1000 ML,"1000 ml (ml a $ 7,99)",$ 7.990
807,VODKA RUSO LADOGA 700 ML,"700 ml (ml a $ 61,41)",$ 42.990
808,VINO MALBEC LOS RIOS VARIETAL,"750 ml (ml a $ 23,99)",$ 17.990
809,AJIACO PREPARADO BON MENÚ 380 G,"380 g (g a $ 19,18)",$ 7.290
810,PALMITOS DE MAR/CANGREJO 454 G,"454 g (g a $ 18,26)",$ 8.290
811,LOMITOS DE SALMON 454 G,"454 g (g a $ 20,81)",$ 9.450
812,PALETA DE CREMA KÜLFI SURTIDA 4 UND 45 G,"4 un (un a $ 1.372,5)",$ 5.490
813,FILETES DE MERLUZA RIVERPEZ 400 G,"400 g (g a $ 27,48)",$ 10.990
814,HELADO DE RON CON PASAS KÜLFI 1 L,"650 g (g a $ 19,37)",$ 12.590
815,PIZZA PEPPERONI/HAWAIANA CLUB 500 G,"500 g (g a $ 21,98)",$ 10.990
816,CARNE MOLIDA MIXTA 500 G,"500 g (g a $ 15,78)",$ 7.890
817,CARNE DE RES PARA ASAR RED CUT 500 G,"500 g (g a $ 23,98)",$ 11.990
818,MILANESA DE CERDO 500 G,"500 g (g a $ 15,98)",$ 7.990
819,TOCINO CARNUDO 500 G,"500 g (g a $ 14,98)",$ 7.490
820,CARNE MOLIDA DE RES X 500 G,"500 g (g a $ 20,78)",$ 10.390
